Date,Year,Month,CPI,Unemployment (%),Fed Rate (%),Real GDP (Billions in USD),Inflation (% per Year),Home Sales (Billions in USD),Retail Sales (Billions in USD),Industry Production Lag_1,Unemployment Lag_1,YoY Unemployment,Month_Sin,Month_Cos
2022-09-01,2022.0,9.0,296.808,3.5,2.705,21989.981,3.925301258599835,556.0,227209.0,103.3515,3.55,-0.0533625730994151,-1.0,-1.8369701987210294e-16
2022-10-01,2022.0,10.0,298.012,3.6,3.08,21989.981,3.654905670877616,577.0,228880.0,103.533,3.5,0.0,-0.8660254037844386,0.5000000000000001
2022-11-01,2022.0,11.0,297.711,3.6,3.455,22112.329,2.4139612504865964,596.0,225575.0,103.275,3.6,-0.0135135135135135,-0.5000000000000004,0.8660254037844384
2022-12-01,2022.0,12.0,296.797,3.5,4.08,22112.329,0.8519471226161919,632.0,223128.0,102.4665,3.55,-0.0277777777777777,-2.4492935982947064e-16,1.0
2023-01-01,2023.0,1.0,299.17,3.4,4.33,22112.329,0.964864618593315,639.0,231001.0,101.827,3.5,-0.0555555555555555,0.4999999999999999,0.8660254037844387
2023-02-01,2023.0,2.0,300.84,3.6,4.493333333333333,22225.349999999995,1.5404555212031903,625.0,227666.0,102.78266666666667,3.533333333333333,0.0285714285714286,0.8660254037844387,0.5000000000000001
2023-03-01,2023.0,3.0,301.836,3.5,4.66,22225.349999999995,1.7669317307559336,644.0,225047.0,102.80933333333333,3.533333333333333,-0.009259259259259233,1.0,6.123233995736766e-17
2023-04-01,2023.0,4.0,303.363,3.4,4.83,22225.35,1.7955652792505,687.0,225619.0,102.814,3.5,-0.0555555555555555,0.8660254037844387,-0.4999999999999998
2023-05-01,2023.0,5.0,304.127,3.7,4.955,22490.692,2.155110157165841,741.0,226352.0,103.10249999999999,3.55,0.0277777777777779,0.4999999999999999,-0.8660254037844387
2023-06-01,2023.0,6.0,305.109,3.6,5.075,22490.692,2.800567391179815,666.0,226521.0,102.681,3.6500000000000004,0.0285714285714286,1.2246467991473532e-16,-1.0
2023-07-01,2023.0,7.0,305.691,3.5,5.16,22490.692,1.8015557486380178,700.0,226640.0,102.84166666666665,3.533333333333333,-0.008714596949890999,-0.4999999999999997,-0.8660254037844388
2023-08-01,2023.0,8.0,307.026,3.8,5.33,22679.255,2.0562425209413764,652.0,227141.0,103.072,3.5,0.0555555555555555,-0.8660254037844385,-0.5000000000000004
2023-09-01,2023.0,9.0,307.789,3.8,5.33,22679.255,1.9722630832637504,694.0,228218.0,103.095,3.8,0.0857142857142856,-1.0,-1.8369701987210294e-16
2023-10-01,2023.0,10.0,307.671,3.8,5.33,22679.255,1.9331690056852,673.0,227612.0,103.308,3.8,0.0857142857142856,-0.8660254037844386,0.5000000000000001
2023-11-01,2023.0,11.0,307.051,3.7,5.33,22758.752,1.7277594455267016,611.0,227485.0,102.578,3.8,0.0571428571428571,-0.5000000000000004,0.8660254037844384
2023-12-01,2023.0,12.0,306.746,3.7,5.33,22758.752,1.1151656596222943,654.0,227781.0,102.887,3.7,0.0882352941176471,-2.4492935982947064e-16,1.0
2024-01-01,2024.0,1.0,308.417,3.7,5.33,22758.752,1.4105949159397106,664.0,224625.0,102.631,3.7,0.0,0.4999999999999999,0.8660254037844387
2024-02-01,2024.0,2.0,310.326,3.9,5.33,22918.739,2.038293213032717,643.0,225208.0,101.483,3.7,0.0540540540540539,0.8660254037844386,0.5000000000000001
2024-03-01,2024.0,3.0,312.332,3.8,5.33,22918.739,2.367350684509475,683.0,225391.0,102.605,3.9,0.0555555555555555,1.0,6.123233995736766e-17
2024-04-01,2024.0,4.0,313.548,3.9,5.33,22918.739,2.765896777872833,730.0,224350.0,102.406,3.8,0.0833333333333332,0.8660254037844387,-0.4999999999999998
2024-05-01,2024.0,5.0,314.069,4.0,5.33,22918.739,2.74067604214715,621.0,224913.0,102.433,3.9,0.1428571428571428,0.4999999999999999,-0.8660254037844387
2024-06-01,2024.0,6.0,314.175,4.1,5.33,22918.739,2.775351580517594,617.0,224988.0,103.328,4.0,0.1714285714285712,1.2246467991473532e-16,-1.0
2024-07-01,2024.0,7.0,314.489175,4.1,5.33,22918.739,2.878126932098104,612.0,224988.0,103.994,4.1,0.1714285714285712,-0.4999999999999997,-0.8660254037844388
