Row Labels,Sum of SrcWgtAvgGoldstein,Sum of SrcWeightAvgTone
12/25/2015,0.368,-1.385
12/26/2015,0.219,-1.652
12/27/2015,0.590,-1.574
12/28/2015,0.345,-1.842
12/29/2015,0.350,-1.695
12/30/2015,0.581,-1.789
12/31/2015,0.615,-1.654
1/1/2016,0.434,-1.885
1/2/2016,0.090,-2.004
1/3/2016,-0.096,-2.466
1/4/2016,0.547,-1.755
1/5/2016,0.439,-1.617
1/6/2016,0.568,-1.702
1/7/2016,0.750,-1.473
1/8/2016,0.065,-1.778
1/9/2016,0.269,-2.279
1/10/2016,0.060,-1.956
1/11/2016,0.723,-1.395
1/12/2016,0.781,-1.426
1/13/2016,1.026,-1.507
1/14/2016,0.803,-1.435
1/15/2016,0.591,-1.604
1/16/2016,0.710,-1.730
1/17/2016,0.382,-1.525
1/18/2016,0.851,-1.225
1/19/2016,0.672,-1.150
1/20/2016,0.856,-1.240
1/21/2016,0.959,-1.215
1/22/2016,1.013,-1.353
1/23/2016,0.719,-1.785
1/24/2016,0.610,-1.559
1/25/2016,0.742,-1.429
1/26/2016,0.896,-1.537
1/27/2016,0.844,-1.618
1/28/2016,1.080,-1.455
1/29/2016,0.957,-1.731
1/30/2016,0.894,-1.320
1/31/2016,0.794,-1.627
2/1/2016,0.950,-1.558
2/2/2016,0.919,-1.289
2/3/2016,0.874,-1.305
2/4/2016,0.916,-1.500
2/5/2016,0.962,-1.702
2/6/2016,0.750,-1.762
2/7/2016,0.893,-1.855
2/8/2016,0.968,-1.493
2/9/2016,0.928,-1.439
2/10/2016,0.587,-1.447
2/11/2016,0.813,-1.351
2/12/2016,0.939,-1.509
2/13/2016,0.911,-1.527
2/14/2016,0.655,-1.287
2/15/2016,0.866,-1.196
2/16/2016,0.890,-1.326
2/17/2016,0.934,-1.204
2/18/2016,0.952,-1.228
2/19/2016,0.528,-1.429
2/20/2016,0.235,-2.049
2/21/2016,0.576,-1.575
2/22/2016,1.070,-1.206
2/23/2016,1.123,-1.302
2/24/2016,0.879,-1.356
2/25/2016,0.843,-1.382
2/26/2016,0.666,-1.517
